"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1911","Prince Edward Island","2016A000211","Average yield","Hundredweight per harvested acres","159","units","0","v47152","3.2","109.2","","","","1"
"1911","Prince Edward Island","2016A000211","Production","Hundredweight","156","thousands","3","v47163","3.3","3364","","","","0"
"1911","Prince Edward Island","2016A000211","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47174","3.4","0.60","","","t","2"
"1911","Prince Edward Island","2016A000211","Total farm value, potatoes","Dollars","81","thousands","3","v47185","3.5","2018","","","t","0"
"1911","Nova Scotia","2016A000212","Seeded area","Acres","28","units","0","v47142","4.1","30800","","","","0"
"1911","Nova Scotia","2016A000212","Average yield","Hundredweight per harvested acres","159","units","0","v47153","4.2","110.5","","","","1"
"1911","Nova Scotia","2016A000212","Production","Hundredweight","156","thousands","3","v47164","4.3","3402","","","","0"
"1911","Nova Scotia","2016A000212","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47175","4.4","0.83","","","t","2"
"1911","Nova Scotia","2016A000212","Total farm value, potatoes","Dollars","81","thousands","3","v47186","4.5","2824","","","t","0"
"1911","New Brunswick","2016A000213","Seeded area","Acres","28","units","0","v47143","5.1","41000","","","","0"
"1911","New Brunswick","2016A000213","Average yield","Hundredweight per harvested acres","159","units","0","v47154","5.2","128.8","","","","1"
"1911","New Brunswick","2016A000213","Production","Hundredweight","156","thousands","3","v47165","5.3","5279","","","","0"
"1911","New Brunswick","2016A000213","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47176","5.4","0.87","","","t","2"
"1911","New Brunswick","2016A000213","Total farm value, potatoes","Dollars","81","thousands","3","v47187","5.5","4593","","","t","0"
"1911","Quebec","2016A000224","Seeded area","Acres","28","units","0","v47144","6.1","126000","","","","0"
"1911","Quebec","2016A000224","Average yield","Hundredweight per harvested acres","159","units","0","v47155","6.2","76.0","","","","1"
"1911","Quebec","2016A000224","Production","Hundredweight","156","thousands","3","v47166","6.3","9576","","","","0"
"1911","Quebec","2016A000224","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47177","6.4","1.12","","","t","2"
"1911","Quebec","2016A000224","Total farm value, potatoes","Dollars","81","thousands","3","v47188","6.5","10725","","","t","0"
"1911","Ontario","2016A000235","Seeded area","Acres","28","units","0","v47145","7.1","157000","","","","0"
"1911","Ontario","2016A000235","Average yield","Hundredweight per harvested acres","159","units","0","v47156","7.2","61.3","","","","1"
"1911","Ontario","2016A000235","Production","Hundredweight","156","thousands","3","v47167","7.3","9623","","","","0"
"1911","Ontario","2016A000235","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47178","7.4","1.33","","","t","2"
"1911","Ontario","2016A000235","Total farm value, potatoes","Dollars","81","thousands","3","v47189","7.5","12799","","","t","0"
"1911","Manitoba","2016A000246","Seeded area","Acres","28","units","0","v47146","8.1","26500","","","","0"
"1911","Manitoba","2016A000246","Average yield","Hundredweight per harvested acres","159","units","0","v47157","8.2","124.3","","","","1"
"1911","Manitoba","2016A000246","Production","Hundredweight","156","thousands","3","v47168","8.3","3295","","","","0"
"1911","Manitoba","2016A000246","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47179","8.4","0.70","","","t","2"
"1911","Manitoba","2016A000246","Total farm value, potatoes","Dollars","81","thousands","3","v47190","8.5","2307","","","t","0"
"1911","Saskatchewan","2016A000247","Seeded area","Acres","28","units","0","v47147","9.1","30100","","","","0"
"1911","Saskatchewan","2016A000247","Average yield","Hundredweight per harvested acres","159","units","0","v47158","9.2","110.0","","","","1"
"1911","Saskatchewan","2016A000247","Production","Hundredweight","156","thousands","3","v47169","9.3","3311","","","","0"
"1911","Saskatchewan","2016A000247","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47180","9.4","0.85","","","t","2"
"1911","Saskatchewan","2016A000247","Total farm value, potatoes","Dollars","81","thousands","3","v47191","9.5","2814","","","t","0"
"1911","Alberta","2016A000248","Seeded area","Acres","28","units","0","v47148","10.1","23900","","","","0"
"1911","Alberta","2016A000248","Average yield","Hundredweight per harvested acres","159","units","0","v47159","10.2","115.6","","","","1"
"1911","Alberta","2016A000248","Production","Hundredweight","156","thousands","3","v47170","10.3","2763","","","","0"
"1911","Alberta","2016A000248","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47181","10.4","0.70","","","t","2"
"1911","Alberta","2016A000248","Total farm value, potatoes","Dollars","81","thousands","3","v47192","10.5","1934","","","t","0"
"1911","British Columbia","2016A000259","Seeded area","Acres","28","units","0","v47149","11.1","14800","","","","0"
"1911","British Columbia","2016A000259","Average yield","Hundredweight per harvested acres","159","units","0","v47160","11.2","151.4","","","","1"
"1911","British Columbia","2016A000259","Production","Hundredweight","156","thousands","3","v47171","11.3","2240","","","","0"
"1911","British Columbia","2016A000259","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47182","11.4","1.10","","","t","2"
"1911","British Columbia","2016A000259","Total farm value, potatoes","Dollars","81","thousands","3","v47193","11.5","2464","","","t","0"
"1912","Canada","2016A000011124","Seeded area","Acres","28","units","0","v47140","1.1","484000","","","","0"
"1912","Canada","2016A000011124","Average yield","Hundredweight per harvested acres","159","units","0","v47151","1.2","105.2","","","","1"
"1912","Canada","2016A000011124","Production","Hundredweight","156","thousands","3","v47162","1.3","50931","","","","0"
"1912","Canada","2016A000011124","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47173","1.4","0.73","","","t","2"
"1912","Canada","2016A000011124","Total farm value, potatoes","Dollars","81","thousands","3","v47184","1.5","37329","","","t","0"
"1912","Prince Edward Island","2016A000211","Seeded area","Acres","28","units","0","v47141","3.1","33000","","","","0"
"1912","Prince Edward Island","2016A000211","Average yield","Hundredweight per harvested acres","159","units","0","v47152","3.2","122.6","","","","1"
"1912","Prince Edward Island","2016A000211","Production","Hundredweight","156","thousands","3","v47163","3.3","4045","","","","0"
"1912","Prince Edward Island","2016A000211","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47174","3.4","0.43","","","t","2"
"1912","Prince Edward Island","2016A000211","Total farm value, potatoes","Dollars","81","thousands","3","v47185","3.5","1753","","","t","0"
"1912","Nova Scotia","2016A000212","Seeded area","Acres","28","units","0","v47142","4.1","32000","","","","0"
"1912","Nova Scotia","2016A000212","Average yield","Hundredweight per harvested acres","159","units","0","v47153","4.2","177.1","","","","1"
"1912","Nova Scotia","2016A000212","Production","Hundredweight","156","thousands","3","v47164","4.3","5668","","","","0"
"1912","Nova Scotia","2016A000212","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47175","4.4","0.78","","","t","2"
"1912","Nova Scotia","2016A000212","Total farm value, potatoes","Dollars","81","thousands","3","v47186","4.5","4440","","","t","0"
"1912","New Brunswick","2016A000213","Seeded area","Acres","28","units","0","v47143","5.1","43000","","","","0"
"1912","New Brunswick","2016A000213","Average yield","Hundredweight per harvested acres","159","units","0","v47154","5.2","105.5","","","","1"
"1912","New Brunswick","2016A000213","Production","Hundredweight","156","thousands","3","v47165","5.3","4535","","","","0"
"1912","New Brunswick","2016A000213","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47176","5.4","0.70","","","t","2"
"1912","New Brunswick","2016A000213","Total farm value, potatoes","Dollars","81","thousands","3","v47187","5.5","3174","","","t","0"
"1912","Quebec","2016A000224","Seeded area","Acres","28","units","0","v47144","6.1","116000","","","","0"
"1912","Quebec","2016A000224","Average yield","Hundredweight per harvested acres","159","units","0","v47155","6.2","82.5","","","","1"
"1912","Quebec","2016A000224","Production","Hundredweight","156","thousands","3","v47166","6.3","9567","","","","0"
"1912","Quebec","2016A000224","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47177","6.4","0.58","","","t","2"
"1912","Quebec","2016A000224","Total farm value, potatoes","Dollars","81","thousands","3","v47188","6.5","5580","","","t","0"
"1912","Ontario","2016A000235","Seeded area","Acres","28","units","0","v47145","7.1","158000","","","","0"
"1912","Ontario","2016A000235","Average yield","Hundredweight per harvested acres","159","units","0","v47156","7.2","86.2","","","","1"
"1912","Ontario","2016A000235","Production","Hundredweight","156","thousands","3","v47167","7.3","13614","","","","0"
"1912","Ontario","2016A000235","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47178","7.4","0.98","","","t","2"
"1912","Ontario","2016A000235","Total farm value, potatoes","Dollars","81","thousands","3","v47189","7.5","13387","","","t","0"
"1912","Manitoba","2016A000246","Seeded area","Acres","28","units","0","v47146","8.1","27000","","","","0"
"1912","Manitoba","2016A000246","Average yield","Hundredweight per harvested acres","159","units","0","v47157","8.2","137.4","","","","1"
"1912","Manitoba","2016A000246","Production","Hundredweight","156","thousands","3","v47168","8.3","3709","","","","0"
"1912","Manitoba","2016A000246","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47179","8.4","0.58","","","t","2"
"1912","Manitoba","2016A000246","Total farm value, potatoes","Dollars","81","thousands","3","v47190","8.5","2164","","","t","0"
